problem_id,source_id,language,gold_answer,extracted_answer,is_correct,extraction_method,question,generated_response,finish_reason,prompt_tokens,completion_tokens,total_tokens,status,error,auto_is_correct,adjudicated_is_correct,adjudication_changed,adjudication_reason
6,2016,darija,310,310,1,explicit_final,وفاء خدمات 42 ساعة فواحد السيمانة. الخلاص ديالها هو 10 دراهم للساعة. من داكشي لي جمعات، كيحيدو ليها 20% د الضريبة، 5% د لاصورانص، و 5 دراهم ديال النقابة. شحال د الفلوس كتدي وفاء للدار من بعد الاقتطاعات؟,"Wafaa works **42 hours** in a week and is paid **10 dirhams per hour**.

1. **Gross earnings**
\[
42 \text{ h} \times 10 \frac{\text{dh}}{\text{h}} = 420 \text{ dh}
\]

2. **Deductions**
   - Tax: \(20\% \times 420 = 0.20 \times 420 = 84\) dh  
   - Insurance: \(5\% \times 420 = 0.05 \times 420 = 21\) dh  
   - Union fee: \(5\) dh  

   Total deductions:
\[
84 + 21 + 5 = 110 \text{ dh}
\]

3. **Net pay (take‑home)**
\[
420 - 110 = 310 \text{ dh}
\]

So after all the deductions, Wafaa brings home **310 dirhams**.

**FINAL ANSWER: 310**",stop,188,626,814,success,,1,1,0,
6,2016,english,310,310,1,explicit_final,"Vikki worked 42 hours in one week. Her hourly pay rate is $10. From her weekly earnings, 20% is deducted as tax, 5% is deducted as insurance cover, and $5 is deducted for union dues. How much money, in dollars, does Vikki take home after deductions?","First, calculate Vikki’s gross earnings:

\[
42\text{ hours} \times \$10/\text{hour} = \$420
\]

Next, compute each deduction:

- Tax: \(20\% \times \$420 = 0.20 \times 420 = \$84\)
- Insurance: \(5\% \times \$420 = 0.05 \times 420 = \$21\)
- Union dues: \(\$5\)

Add the deductions:

\[
84 + 21 + 5 = \$110
\]

Subtract the total deductions from the gross earnings to find the take‑home pay:

\[
420 - 110 = \$310
\]

**FINAL ANSWER: 310**",stop,163,247,410,success,,1,1,0,
7,1834,english,75,75,1,explicit_final,"During vacation, Jimmy visits different beaches on an island, so he changes his place of lodging from time to time. The first 3 days he stays in a hostel, where he is charged $15 per night. The fourth and fifth days he stays in a cabin where he shares expenses with 2 of his friends, and they are charged $45 total per night. How much did Jimmy spend on lodging?","**Reasoning**

- **Hostel stay:**  
  - 3 nights at \$15 per night → \(3 \times 15 = \$45\).

- **Cabin stay:**  
  - The cabin costs \$45 total per night for the three of them.  
  - Jimmy’s share per night = \(\frac{45}{3} = \$15\).  
  - He stays 2 nights → \(2 \times 15 = \$30\).

- **Total lodging cost:**  
  - Hostel + Cabin = \(45 + 30 = \$75\).

**Answer**

FINAL ANSWER: 75",stop,181,268,449,success,,1,1,0,
7,1834,darija,75,75,1,explicit_final,فالعطلة، جمال كايسافر لبحورا مختلفة فالجزيرة، ومرة مرة كايبدل فين بايت. 3 أيام اللولة نزل فؤطيل رخيص بـ 15 درهم لليلة. النهار الرابع والخامس كرا كابان هو وجوج صحابو بـ 45 درهم لليلة فالمجموع (كايتقاسمو المصاريف). شحال خسر جمال فالمبات؟,"The first three nights cost 15 DH each:

\[
3 \times 15 = 45 \text{ DH}
\]

For the fourth and fifth nights the cabin costs 45 DH per night total, shared by three people, so Jamal’s share per night is:

\[
\frac{45}{3}=15 \text{ DH}
\]

For two nights:

\[
2 \times 15 = 30 \text{ DH}
\]

Total amount Jamal spent on the nights:

\[
45 + 30 = 75 \text{ DH}
\]

**FINAL ANSWER: 75**",stop,198,452,650,success,,1,1,0,
8,1148,darija,10,10,1,explicit_final,كاين 480 حبة د الروز فكاس عامر. إيلا كان نص كاس كيساوي 8 د المعالق كبار، ومعلقة كبيرة وحدة فيها 3 د المعالق صغار، شحال من حبة د الروز كاينة فمعلقة صغيرة؟,"**Reasoning**

- A full cup contains **480 grains** of rice.  
- Half a cup is equivalent to **8 big spoons**.  
  Therefore a full cup equals \(2 \times 8 = 16\) big spoons.  
- One big spoon holds **3 small spoons**.  
  Hence a full cup contains \(16 \times 3 = 48\) small spoons.  

The number of grains per small spoon is:

\[
\frac{480\ \text{grains}}{48\ \text{small spoons}} = 10\ \text{grains per small spoon}
\]

**Final numeric answer**

FINAL ANSWER: 10",stop,160,325,485,success,,1,1,0,
8,1148,english,10,10,1,explicit_final,"There are 480 grains of rice in one cup. If half a cup is 8 tablespoons and one tablespoon is 3 teaspoons, how many grains of rice are in a teaspoon?","The problem gives the following relationships:

- 1 cup = 2 × (½ cup) = 2 × 8 tbsp = **16 tablespoons**.  
- 1 tablespoon = **3 teaspoons**.

Therefore  

\[
1\text{ cup}=16\text{ tbsp}=16\times3\text{ tsp}=48\text{ teaspoons}.
\]

If there are 480 grains of rice in one cup, the number of grains per teaspoon is

\[
\frac{480\text{ grains}}{48\text{ teaspoons}} = 10\text{ grains per teaspoon}.
\]

**FINAL ANSWER: 10**",stop,136,274,410,success,,1,1,0,
9,6078,english,315,315,1,explicit_final,"Cyrus has been contracted to write a 500 page book.  On his first day, he writes 25 pages and twice that amount on the second day.  On the third day he is able to write twice the amount that he did on the second day.  On the fourth day, he gets writer's block and is only able to write 10 pages.  How many more pages does he need to write?","First, calculate the pages written each day:

- Day 1: \(25\) pages  
- Day 2: twice Day 1 → \(2 \times 25 = 50\) pages  
- Day 3: twice Day 2 → \(2 \times 50 = 100\) pages  
- Day 4: \(10\) pages  

Total written in the four days:
\[
25 + 50 + 100 + 10 = 185 \text{ pages}
\]

Cyrus must write a total of \(500\) pages, so the remaining pages are:
\[
500 - 185 = 315
\]

**FINAL ANSWER: 315**",stop,185,273,458,success,,1,1,0,
9,6078,darija,315,315,1,explicit_final,سعيد عندو كونطرا باش يكتب كتاب فيه 500 صفحة. فالنهار اللول كتب 25 صفحة، والنهار التاني كتب الدوبل ديال داكشي. فالنهار التالت قدر يكتب الدوبل ديال داكشي اللي كتب فالنهار التاني. ولكن فالنهار الرابع تبلوكا وماكتب غير 10 د الصفحات. شحال باقي خاصو يكتب من صفحة باش يسالي؟,"**Reasoning**

1. Total pages required: 500.

2. Pages written each day  
   - Day 1: 25 pages.  
   - Day 2: double of Day 1 → \(2 \times 25 = 50\) pages.  
   - Day 3: double of Day 2 → \(2 \times 50 = 100\) pages.  
   - Day 4: only 10 pages.

3. Total pages already written:  
   \(25 + 50 + 100 + 10 = 185\) pages.

4. Pages still needed:  
   \(500 - 185 = 315\) pages.

**Final numeric answer**

FINAL ANSWER: 315",stop,194,392,586,success,,1,1,0,
10,844,darija,1,1,1,explicit_final,من هنا 5 سنين، أنس غادي يولي فعمرو الضعف ديال العمر اللي عند رحيم دابا. رحيم دابا فعمرو 6 سنين. بشحال أنس كبر من رحيم دابا؟,"Let  

- \(A\) = Anas’s current age (in years)  
- Rahim’s current age = 6 years  

In 5 years Anas will be \(A+5\) years old.  
According to the statement, at that time Anas’s age will equal **twice** Rahim’s present age:

\[
A + 5 = 2 \times 6 = 12
\]

Solve for \(A\):

\[
A = 12 - 5 = 7
\]

So Anas is now 7 years old.  
The difference between their ages now is

\[
7 - 6 = 1 \text{ year}
\]

**FINAL ANSWER: 1**",stop,155,401,556,success,,1,1,0,
10,844,english,1,1,1,explicit_final,"In 5 years, Andy will be twice as old as Rahim is now. Rahim is 6 now. How much older is Andy than Rahim, right now, in years?","**Reasoning**

- Let \(A\) be Andy’s current age and \(R\) be Rahim’s current age.
- We are told \(R = 6\).
- In 5 years Andy’s age will be \(A + 5\).
- At that time Andy will be twice Rahim’s **current** age:  
  \[
  A + 5 = 2R = 2 \times 6 = 12.
  \]
- Solve for \(A\):  
  \[
  A = 12 - 5 = 7.
  \]
- The age difference now is \(A - R = 7 - 6 = 1\) year.

**Answer**

FINAL ANSWER: 1",stop,138,315,453,success,,1,1,0,
11,5584,english,94,94,1,explicit_final,"Marty and Biff were both running for student council president. A poll was taken to see how the candidate’s campaigns were going. 45% of the people polled said they were voting for Biff and 8% were undecided. The rest said they are voting for Marty. If 200 people were polled, how many said they are voting for Marty?","**Reasoning**

- The poll percentages must add up to 100 %.
- Biff received **45 %** and the undecided group received **8 %**.
- Therefore, the percentage for Marty is  

\[
100\% - 45\% - 8\% = 47\%.
\]

- With 200 people polled, the number who said they would vote for Marty is  

\[
47\% \times 200 = 0.47 \times 200 = 94.
\]

**Answer**

FINAL ANSWER: 94",stop,175,195,370,success,,1,1,0,
11,5584,darija,94,94,1,explicit_final,مراد وبدر مرشحين لرئاسة مجلس الطلبة. دارو استطلاع باش يشوفو لمن غايصوتو الناس. 45% قالو غايصوتو لبدر، و 8% مازال ماقرروش. الباقي قالو غايصوتو لمراد. إيلا سولو 200 واحد، شحال منهم قالو غايصوتو لمراد؟,"**Reasoning**

- Total percentage of respondents = 100 %.
- Percentage for Badr = 45 %.
- Percentage undecided = 8 %.
- Percentage for Murad = 100 % − 45 % − 8 % = **47 %**.

Now apply this percentage to the 200 people surveyed:

\[
\text{Number for Murad} = 47\% \times 200 = 0.47 \times 200 = 94.
\]

**FINAL ANSWER: 94**",stop,187,273,460,success,,1,1,0,
12,6112,darija,39,39,1,explicit_final,توفيق مشا يدير 'مانيكير' وعطى للبنت لي خدامة تما 30% د التدويرة (بقشيش). إيلا كانت المانيكير كادير 30 درهم، شحال خلص فالمجموع؟,"**Reasoning**

- The cost of the manicure (the bill) is **30 dirhams**.  
- Tawfiq gives a tip equal to **30 %** of that amount.  

Calculate the tip:
\[
\text{Tip} = 30\% \times 30 = 0.30 \times 30 = 9 \text{ dirhams}
\]

Add the tip to the original bill to get the total amount paid:
\[
\text{Total} = 30 + 9 = 39 \text{ dirhams}
\]

**FINAL ANSWER: 39**",stop,156,375,531,success,,1,1,0,
12,6112,english,39,39,1,explicit_final,Tim gets a manicure and tips the beautician 30%.  If the manicure cost $30 how much did he pay in total?,"**Reasoning**

- The cost of the manicure is \$30.  
- The tip is 30 % of the cost:  
  \[
  \text{Tip} = 0.30 \times 30 = 9 \text{ dollars}
  \]
- Total amount paid = cost + tip = \$30 + \$9 = \$39.

**Answer**

FINAL ANSWER: 39",stop,126,141,267,success,,1,1,0,
13,7355,english,3,3,1,explicit_final,Minnie is making a playlist of songs for a party she will be throwing. She wants the playlist to be an hour long. She has added 16 three-minute songs to the playlist. How many four-minute songs does she have to add to make sure the playlist is an hour long?,"Minnie’s current playlist length:
\(16 \text{ songs} \times 3 \text{ minutes per song} = 48 \text{ minutes}\).

She wants a total of 60 minutes, so she needs:
\(60 - 48 = 12 \text{ minutes}\) more.

Each four‑minute song adds 4 minutes, so the number of four‑minute songs required is:
\(\dfrac{12}{4} = 3\).

**FINAL ANSWER: 3**",stop,157,214,371,success,,1,1,0,
13,7355,darija,3,3,1,explicit_final,منى كتصاوب playlist لحفلة عيد ميلاد وبغاتها تكون فيها ساعة. دابا دارت 16 أغنية ديال 3 دقايق للوحدة. شحال خاصها تزيد من أغنية ديال 4 دقايق باش تكمل ساعة نيشان؟,"Mona wants a playlist that lasts exactly 1 hour = 60 minutes.

- She already has 16 songs, each 3 minutes long.  
  Total time so far = \(16 \times 3 = 48\) minutes.

- Time still needed = \(60 - 48 = 12\) minutes.

- Each extra song is 4 minutes long.  
  Number of such songs required = \(\dfrac{12}{4} = 3\).

So Mona must add **3** songs of 4 minutes each.

**FINAL ANSWER: 3**",stop,162,357,519,success,,1,1,0,
14,4503,darija,32,32,1,explicit_final,كريمة كتعوض بياض البيض بالما ديال الحمص فالحلوة. كل 2 معالق كبار ديال ما الحمص كيعوضو بياض بيضة وحدة. هي باغا تصاوب 2 كيكات، وكل وحدة خاصها 8 ديال بياض البيض. شحال من معلقة كبيرة ديال ما الحمص خاصها باش ما تستعملش البيض كاع؟,"Each cake needs 8 egg‑white equivalents.  
For 2 cakes: \(2 \times 8 = 16\) egg whites must be replaced.

The substitution rate is:
- 2 big spoons of chickpea flour replace 1 egg white.

Therefore the required number of big spoons is:
\[
16 \text{ egg whites} \times 2 \frac{\text{spoons}}{\text{egg white}} = 32 \text{ big spoons}
\]

**FINAL ANSWER: 32**",stop,188,317,505,success,,1,1,0,
14,4503,english,32,32,1,explicit_final,Christine is subbing aquafaba for egg whites in baking.  Every 2 tablespoons of aquafaba is equivalent to 1 egg white.  She's making 2 angel food cakes that call for 8 egg whites each.  How many tablespoons of aquafaba will she need in order not to use egg whites?,"Each angel food cake requires 8 egg whites, and Christine is making 2 cakes:

\[
2 \text{ cakes} \times 8 \text{ egg whites per cake} = 16 \text{ egg whites}
\]

The substitution ratio is:

\[
2 \text{ tablespoons of aquafaba} = 1 \text{ egg white}
\]

So for each egg white she needs 2 tablespoons of aquafaba. Therefore:

\[
16 \text{ egg whites} \times 2 \text{ tbsp/egg white} = 32 \text{ tablespoons}
\]

**FINAL ANSWER: 32**",stop,165,230,395,success,,1,1,0,
15,715,english,50,50,1,explicit_final,"You start a business selling charm bracelets. You spend $1 on the string for each bracelet and $3 on beads for each bracelet. You sell the bracelets for $6 each. If you sell 25 bracelets, how much profit will you make?","**Reasoning**

- Cost of string per bracelet = \$1  
- Cost of beads per bracelet = \$3  
- Total cost per bracelet = \$1 + \$3 = **\$4**

- Selling price per bracelet = \$6  

- Profit per bracelet = selling price – total cost = \$6 − \$4 = **\$2**

- Number of bracelets sold = 25  

- Total profit = profit per bracelet × number sold = \$2 × 25 = **\$50**

**Final numeric answer**

FINAL ANSWER: 50",stop,149,191,340,success,,1,1,0,
15,715,darija,50,50,1,explicit_final,بديتي مشروع ديال البراسليات. كيتقام عليك الخيط بـ 1 درهم والعقيق بـ 3 دراهم لكل براسلي. كاتبيع البراسلي بـ 6 دراهم. إيلا بعتي 25 براسلي، شحال هو الربح الصافي ديالك؟,"**Reasoning**

- Cost of thread per bracelet = 1 dirham  
- Cost of beads per bracelet = 3 dirhams  
- Total cost per bracelet = 1 + 3 = 4 dirhams  

- Selling price per bracelet = 6 dirhams  

- Profit per bracelet = selling price – total cost = 6 – 4 = 2 dirhams  

- Number of bracelets sold = 25  

- Net profit = profit per bracelet × number sold = 2 × 25 = 50 dirhams  

**Final numeric answer**

FINAL ANSWER: 50",stop,166,281,447,success,,1,1,0,
16,4875,darija,6,6,1,explicit_final,توفيق كايشرب 72 سنتيلتر (cl) ديال الما فنهار. قرر يشري قرعة ديال لينوكس باش مايبقاش يضيع البلاستيك. يلا شرا قرعة كاتهز 84 cl، شحال من مرة غايخصو يعمرها فالسيمانة؟,"Tawfiq drinks  

\[
72\ \text{cl per day}
\]

In a week (7 days) his total water consumption is  

\[
72 \times 7 = 504\ \text{cl}.
\]

The reusable bottle he buys can hold  

\[
84\ \text{cl}.
\]

The number of times he must fill the bottle in a week is  

\[
\frac{504}{84}=6.
\]

So he will need to refill the bottle **6 times** during the week.

**FINAL ANSWER: 6**",stop,174,264,438,success,,1,1,0,
16,4875,english,6,6,1,explicit_final,"Tony drinks 72 ounces of water per day. He decides that to stop wasting plastic, he will buy a reusable metal bottle. If he buys an 84-ounce water bottle, how many times will he fill it each week?","Tony drinks  

\[
72\text{ oz/day} \times 7\text{ days} = 504\text{ oz/week}.
\]

Each refill of the bottle provides  

\[
84\text{ oz}.
\]

Number of refills per week:

\[
\frac{504\text{ oz}}{84\text{ oz/refill}} = 6.
\]

**FINAL ANSWER: 6**",stop,145,223,368,success,,1,1,0,
17,3488,english,860,860,1,explicit_final,"Evan owns 40 fewer books than the number he had 2 years ago. Evan will have 60 more than five times as many books as he owns now in five years. If Evan had 200 books two years ago, calculate the total number of books he will have in five years.","Let  

- \(C\) = number of books Evan has **now**.  

He had 200 books two years ago and currently owns 40 fewer than that:

\[
C = 200 - 40 = 160.
\]

In five years he will have “60 more than five times as many books as he owns now”:

\[
\text{books in 5 years} = 5C + 60 = 5(160) + 60 = 800 + 60 = 860.
\]

\[
\boxed{860}
\]

**FINAL ANSWER: 860**",stop,159,287,446,success,,1,1,0,
17,3488,darija,860,860,1,explicit_final,إلياس عندو دابا 40 كتاب قل من داكشي اللي كان عندو هادي عامين. ومن هنا لـ 5 سنين، غادي يولي عندو 60 كتاب زايدة على خمسة د المرات العدد اللي عندو دابا. إيلا كانو عندو 200 كتاب هادي عامين، شحال غادي يكونو عندو من هنا لـ 5 سنين؟,"Let  

* \(x\) = number of books Elias has **now**.  

Two years ago he had 40 more books than now, so  

\[
\text{books two years ago}=x+40.
\]

In five years he will have “60 books more than five times the number he has now”, i.e.  

\[
\text{books in 5 years}=5x+60.
\]

We are told that two years ago he had 200 books:

\[
x+40 = 200 \quad\Longrightarrow\quad x = 200-40 = 160.
\]

Now compute the number of books he will have in five years:

\[
5x+60 = 5(160)+60 = 800+60 = 860.
\]

\[
\boxed{860}
\]

**FINAL ANSWER: 860**",stop,186,690,876,success,,1,1,0,
18,261,darija,1,1,1,explicit_final,تقدر تشري 4 تفاحات أو دلاحة وحدة بنفس التمن. شريتي 36 فاكهة مقسمة بالتساوي بين الليمون، التفاح والدلاح. تمن الليمونة الواحدة هو 0.50 درهم. شحال كادير تفاحة وحدة إلا كانت الفاتورة كاملة 66 درهم؟,"The 36 fruits are divided equally among lemons, apples, and oranges, so there are  

\[
\frac{36}{3}=12
\]

of each type.

Let the price of one apple be \(a\) dirhams.  
Since 4 apples cost the same as 1 orange, the price of one orange is  

\[
\text{price of orange}=4a.
\]

The price of one lemon is given as \(0.50\) dirhams.

Total cost of the purchase:

\[
12(\text{lemon})\times0.50 \;+\; 12(\text{apple})\times a \;+\; 12(\text{orange})\times 4a
= 6 + 12a + 48a = 6 + 60a.
\]

We know the total bill is 66 dirhams, so

\[
6 + 60a = 66 \quad\Longrightarrow\quad 60a = 60 \quad\Longrightarrow\quad a = 1.
\]

Thus, the price of one apple is **1 dirham**.

FINAL ANSWER: 1",stop,173,680,853,success,,1,1,0,
18,261,english,1,1,1,explicit_final,"You can buy 4 apples or 1 watermelon for the same price. You bought 36 fruits evenly split between oranges, apples and watermelons, and the price of 1 orange is $0.50. How much does 1 apple cost if your total bill was $66?","The price relationship gives  

\[
4\text{ apples}=1\text{ watermelon}\;\Longrightarrow\;4a = w
\]

where \(a\) is the price of one apple and \(w\) the price of one watermelon.

The 36 fruits are split evenly among oranges, apples and watermelons, so there are 12 of each.  
The orange price is \(o = \$0.50\).

Total cost:

\[
12o + 12a + 12w = 66
\]

Substituting \(o = 0.50\):

\[
12(0.50) + 12a + 12w = 66 \\
6 + 12a + 12w = 66 \\
12a + 12w = 60 \\
a + w = 5
\]

Using \(w = 4a\):

\[
a + 4a = 5 \\
5a = 5 \\
a = 1
\]

Thus one apple costs **\$1.00**.

**FINAL ANSWER: 1**",stop,158,548,706,success,,1,1,0,
19,245,english,2280,2280,1,explicit_final,There are 12 crates that each contain 150 oranges. There are 16 boxes that each hold 30 nectarines. How many pieces of fruit are in the crates and the boxes in total?,"First, calculate the number of oranges in the crates:  

- 12 crates × 150 oranges per crate = **1 800 oranges**.

Next, calculate the number of nectarines in the boxes:  

- 16 boxes × 30 nectarines per box = **480 nectarines**.

Add the two totals to find the overall number of pieces of fruit:

- 1 800 + 480 = **2 280** pieces of fruit.

**FINAL ANSWER: 2280**",stop,139,166,305,success,,1,1,0,
19,245,darija,2280,2280,1,explicit_final,كاينين 12 صندوق د الليمون، كل واحد فيه 150 حبة. وكاينين 16 كرتونة د الشهدية، كل وحدة فيها 30 حبة. شحال هو المجموع د الفاكهة كاملة فالصنادق والكراتن؟,"**Reasoning**

- Number of lemon boxes: 12  
  Each box contains 150 lemons → total lemons = \(12 \times 150 = 1800\).

- Number of “الشهدية” cartons: 16  
  Each carton contains 30 pieces → total “الشهدية” = \(16 \times 30 = 480\).

- Total fruit = lemons + “الشهدية” = \(1800 + 480 = 2280\).

**Final numeric answer**

FINAL ANSWER: 2280",stop,159,316,475,success,,1,1,0,
20,770,darija,6,6,1,explicit_final,على حساب واحد الدراسة ف 2008، الدراري الصغار اللي عندهم بين 6 و 11 عام كيتفرجو فالتلفزة 45 دقيقة ف النهار. شحال من ساعة كيتفرجو هاد الدراري ف مدة جوج سيمانات، إيلا كان مسموح ليهم يتفرجو غير 4 أيام ف السيمانة؟,"The children watch TV **45 minutes per day**, but only **4 days each week**.

- Number of watching days in two weeks: \(4 \text{ days/week} \times 2 \text{ weeks} = 8 \text{ days}\)
- Total minutes watched: \(8 \text{ days} \times 45 \text{ minutes/day} = 360 \text{ minutes}\)
- Convert minutes to hours: \(\frac{360}{60} = 6 \text{ hours}\)

**FINAL ANSWER: 6**",stop,177,290,467,success,,1,1,0,
20,770,english,6,6,1,explicit_final,"Based on a 2008 study, children 6–11 years old spend 45 minutes each day watching television. How many hours do these children watch television in 2 weeks if they are allowed to watch television 4 days a week?","Each day they watch  
\[
45\text{ minutes}= \frac{45}{60}=0.75\text{ hour}.
\]

They are allowed to watch TV **4 days per week**, so in one week they watch  

\[
4 \times 0.75\text{ hour}=3\text{ hours}.
\]

For two weeks the total is  

\[
2 \times 3\text{ hours}=6\text{ hours}.
\]

**FINAL ANSWER: 6**",stop,148,253,401,success,,1,1,0,
